학년,반,번호,이름,초기비밀번호,학부모동의,기자단
3,1,1,김하늘,1234,Y,N
3,1,2,이서준,1234,Y,N
3,1,3,박지우,1234,N,N
3,1,4,최도윤,1234,Y,N
3,1,5,정하윤,1234,Y,N
3,1,6,김보늘,1234,Y,N
3,1,7,강민,1234,N,N
3,1,8,남궁민수,1234,Y,N
4,1,1,윤서아,1234,Y,N
4,1,2,장예준,1234,Y,Y
4,1,3,오시우,1234,N,N
4,1,4,한지호,1234,Y,N
4,1,5,서유나,1234,Y,N
4,1,6,신은우,1234,Y,N
4,1,7,문채원,1234,N,N
4,1,8,배준서,1234,Y,N
5,1,1,류다은,1234,Y,N
5,1,2,조수아,1234,Y,N
5,1,3,임건우,1234,Y,N
5,1,4,홍지안,1234,N,N
5,1,5,권나연,1234,Y,N
5,1,6,송현우,1234,Y,N
5,1,7,안서윤,1234,Y,N
6,1,1,황민준,1234,Y,N
6,1,2,전지민,1234,Y,Y
6,1,3,백승현,1234,Y,N
6,1,4,노아린,1234,N,N
6,1,5,유하준,1234,Y,N
6,1,6,표소율,1234,Y,N
6,1,7,심재이,1234,N,N
